epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,338.415,1.23099,1.94682,1.45156,0.59283,0.49504,0.49358,0.23769,1.34852,2.50534,1.77938,0.000653846,0.000653846,0.000653846
2,581.352,1.22965,1.65502,1.46711,0.49613,0.58,0.47672,0.2221,1.38745,3.61933,2.03464,0.00129437,0.00129437,0.00129437
3,814.965,1.31782,1.68336,1.54372,0.41755,0.42667,0.38557,0.14309,1.97987,3.56409,2.62079,0.00190849,0.00190849,0.00190849
4,1047.73,1.38683,1.703,1.58764,0.44964,0.6,0.46708,0.18813,1.84712,4.81119,2.55311,0.0018812,0.0018812,0.0018812
5,1279.34,1.32521,1.52854,1.51746,0.70121,0.62582,0.65268,0.31449,1.63147,2.28125,2.13055,0.0018416,0.0018416,0.0018416
6,1511.7,1.2972,1.46268,1.5234,0.58552,0.63099,0.60631,0.31291,1.48113,1.90949,1.98959,0.001802,0.001802,0.001802
7,3644.23,1.26224,1.37517,1.48983,0.68072,0.6,0.6124,0.32686,1.49067,2.05852,2.01698,0.0017624,0.0017624,0.0017624
8,3879.61,1.19074,1.30202,1.4422,0.70358,0.61333,0.69296,0.39142,1.36288,1.55891,1.74181,0.0017228,0.0017228,0.0017228
9,4110.67,1.23669,1.34147,1.48719,0.78869,0.62,0.68513,0.33957,1.49108,1.6895,1.88887,0.0016832,0.0016832,0.0016832
10,4344.26,1.18978,1.29463,1.45593,0.77583,0.66912,0.77148,0.43626,1.31543,1.66242,1.62738,0.0016436,0.0016436,0.0016436
11,4576.87,1.16212,1.19023,1.39813,0.74388,0.73581,0.81551,0.52769,1.2129,1.32092,1.57694,0.001604,0.001604,0.001604
12,4809.52,1.16071,1.19497,1.40564,0.70765,0.7,0.73424,0.4281,1.30951,1.33961,1.66036,0.0015644,0.0015644,0.0015644
13,5040.75,1.19564,1.20089,1.40778,0.69111,0.74,0.73511,0.44834,1.26593,1.28309,1.67211,0.0015248,0.0015248,0.0015248
14,5270.95,1.16146,1.13879,1.41723,0.69387,0.76667,0.79001,0.47721,1.24852,1.23069,1.6503,0.0014852,0.0014852,0.0014852
15,5502.04,1.10779,1.15743,1.38809,0.795,0.74667,0.8302,0.53186,1.18427,1.20928,1.53865,0.0014456,0.0014456,0.0014456
16,5732.93,1.0754,1.08037,1.33755,0.842,0.74609,0.8037,0.53221,1.10255,1.227,1.47026,0.001406,0.001406,0.001406
17,5963.9,1.0674,1.07584,1.36348,0.74945,0.71333,0.77348,0.49485,1.17723,1.2469,1.55889,0.0013664,0.0013664,0.0013664
18,6198.76,1.05951,1.03686,1.34378,0.78765,0.74667,0.80129,0.52946,1.17146,1.24445,1.59136,0.0013268,0.0013268,0.0013268
19,6431.67,1.02432,1.00203,1.30953,0.78523,0.82871,0.8428,0.55994,1.12278,1.09513,1.50269,0.0012872,0.0012872,0.0012872
20,6865.77,1.06427,1.00675,1.34167,0.85729,0.72089,0.83396,0.56965,1.04023,1.06534,1.41643,0.0012476,0.0012476,0.0012476
21,7099.94,1.0432,1.0003,1.32405,0.82266,0.80407,0.83766,0.51227,1.10365,1.09435,1.46569,0.001208,0.001208,0.001208
22,7332.34,1.01124,0.96317,1.29937,0.75999,0.81333,0.85256,0.55157,1.13524,1.08749,1.4749,0.0011684,0.0011684,0.0011684
23,7564.91,1.00084,0.92339,1.26428,0.79757,0.77333,0.84821,0.54741,1.11823,1.0882,1.47657,0.0011288,0.0011288,0.0011288
24,7797.62,0.9487,0.86422,1.23676,0.90255,0.78,0.89376,0.64736,0.98972,0.88389,1.37148,0.0010892,0.0010892,0.0010892
25,8029.66,0.97026,0.87731,1.2838,0.78398,0.84667,0.85277,0.58822,1.06467,0.97046,1.42994,0.0010496,0.0010496,0.0010496
26,8261.48,1.00106,0.92428,1.28791,0.74868,0.82,0.85817,0.58534,1.01067,1.00393,1.3766,0.00101,0.00101,0.00101
27,8509.66,0.94665,0.8601,1.24045,0.87466,0.78,0.8815,0.63027,0.95906,0.94641,1.33373,0.0009704,0.0009704,0.0009704
28,8775.08,0.94833,0.88949,1.25568,0.8307,0.82,0.88675,0.6182,1.00011,0.91193,1.37641,0.0009308,0.0009308,0.0009308
29,9167.25,0.95229,0.86541,1.25528,0.85475,0.8,0.89263,0.62577,0.95862,0.90525,1.34234,0.0008912,0.0008912,0.0008912
30,9464.27,0.91015,0.83161,1.23342,0.85931,0.85333,0.91752,0.67705,0.93353,0.83149,1.30746,0.0008516,0.0008516,0.0008516
31,9722.02,0.89474,0.81538,1.23436,0.87562,0.86,0.92582,0.6938,0.89025,0.84935,1.22707,0.000812,0.000812,0.000812
32,9971.36,0.88364,0.77858,1.21851,0.80364,0.86667,0.89835,0.67412,0.8934,0.83985,1.27748,0.0007724,0.0007724,0.0007724
33,10215.8,0.8949,0.78198,1.20563,0.84466,0.85333,0.89319,0.63598,0.89889,0.82098,1.27561,0.0007328,0.0007328,0.0007328
34,10452.3,0.84384,0.75525,1.18077,0.86602,0.78,0.8767,0.64245,0.9104,0.84763,1.30163,0.0006932,0.0006932,0.0006932
35,10690.9,0.85949,0.73729,1.18764,0.85169,0.83333,0.8856,0.66948,0.8776,0.78878,1.25454,0.0006536,0.0006536,0.0006536
36,10927.1,0.84751,0.74186,1.16865,0.83279,0.86,0.89944,0.66724,0.88121,0.77165,1.25222,0.000614,0.000614,0.000614
37,11161.2,0.84795,0.7407,1.20145,0.82465,0.90921,0.92263,0.68437,0.891,0.74304,1.27545,0.0005744,0.0005744,0.0005744
38,11396.2,0.8299,0.70867,1.17134,0.86155,0.87124,0.92073,0.69217,0.87854,0.76359,1.23262,0.0005348,0.0005348,0.0005348
39,11630,0.82758,0.70377,1.18739,0.86821,0.88,0.91334,0.67314,0.89882,0.76601,1.26943,0.0004952,0.0004952,0.0004952
40,11867.3,0.81753,0.67534,1.16281,0.85746,0.8422,0.91265,0.68476,0.87917,0.76236,1.24872,0.0004556,0.0004556,0.0004556
41,12100.3,0.68814,0.62017,1.13103,0.87674,0.85356,0.9035,0.67492,0.90917,0.75621,1.26635,0.000416,0.000416,0.000416
42,12331.3,0.66672,0.57415,1.12382,0.87898,0.86,0.92818,0.72298,0.82411,0.7433,1.20567,0.0003764,0.0003764,0.0003764
43,12563.7,0.66887,0.55839,1.11259,0.87251,0.9,0.93916,0.72182,0.81681,0.70489,1.214,0.0003368,0.0003368,0.0003368
44,12794.9,0.62934,0.51897,1.10046,0.87293,0.87333,0.92919,0.70538,0.82307,0.69382,1.20901,0.0002972,0.0002972,0.0002972
45,13026.4,0.65844,0.53005,1.10518,0.90528,0.80667,0.92251,0.69925,0.83979,0.69744,1.21608,0.0002576,0.0002576,0.0002576
46,13258.4,0.60654,0.49139,1.06239,0.90182,0.85333,0.93321,0.71297,0.84191,0.69541,1.21713,0.000218,0.000218,0.000218
47,13492.8,0.61415,0.49557,1.07593,0.92805,0.88,0.94189,0.71749,0.82225,0.67037,1.19777,0.0001784,0.0001784,0.0001784
48,13734.3,0.59534,0.47896,1.07499,0.87649,0.89888,0.93838,0.73054,0.81002,0.65157,1.19523,0.0001388,0.0001388,0.0001388
49,13969.1,0.57883,0.45527,1.05042,0.90417,0.88064,0.94614,0.7338,0.7945,0.63318,1.1777,9.92e-05,9.92e-05,9.92e-05
50,14200.5,0.54894,0.44104,1.04241,0.93195,0.88,0.94595,0.72926,0.7921,0.62671,1.176,5.96e-05,5.96e-05,5.96e-05
